帳號名稱,賣家,價格(USD),價格(TWD),手續費(TWD),總價(TWD),分數,類別,商品連結,幣別,價格分,內容分,內容全文,帳號價值分析,抓取時間
【Global】Crown Cards×1 | 26 Gold | 1100Pack Hourglass | 1500+ Challenge Hourglass | Android&IOS,Lightning02,0.96,30.72,1.54,32.26,28,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1766701702562PD,USD,0.0,46,"Buy 【Global】Crown Cards×1 | 26 Gold | 1100Pack Hourglass | 1500+ Challenge Hourglass | Android&IOS from Lightning02 | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket 【Global】Crown Cards×1 | 26 Gold | 1100Pack Hourglass | 1500+ Challenge Hourglass | Android&IOS 产品信息 交易时间 10分钟 Platform Android 【Global】Crown Cards×1 | 26 Gold | 1100Pack Hourglass | 1500+ Challenge Hourglass | Android&IOS verified_user 免费保险 14天 91 可用库存 remove add 总额 0.96 USD 立即购买 thumb_up 100.00% 已售出7 Lightning02 用户等级 125 934 聊天 military_tech 99.71% 完单率 store 加入时间, 2022年12月3日 thumb_up 99.78% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
【Global】Crown Cards×1 | 40 Poké Gold | 2400+ Pack Hourglass | 1300+ Challenge Hourglass | Android&IOS[Auto Delivery],week1997,0.97,31.04,1.55,32.59,28,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1738557553542OJ,USD,0.25,46,"Buy 【Global】Crown Cards×1 | 40 Poké Gold | 2400+ Pack Hourglass | 1300+ Challenge Hourglass | Android&IOS[Auto Delivery] from week1997 | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket 【Global】Crown Cards×1 | 40 Poké Gold | 2400+ Pack Hourglass | 1300+ Challenge Hourglass | Android&IOS[Auto Delivery] 产品信息 交易时间 立即 交易方式 自动发货 Platform Android 【Global】Crown Cards×1 | 40 Poké Gold | 2400+ Pack Hourglass | 1300+ Wonder Hourglass | Android&IOS[Auto Delivery] Available for IOS and Android AUTO DELIVERY 24/7 verified_user 免费保险 14天 42 可用库存 remove add 总额 0.97 USD 立即购买 thumb_up 100.00% 已售出670 week1997 用户等级 125 529 聊天 military_tech 100% 完单率 store 加入时间, 2024年11月5日 thumb_up 99.92% 全部评价 Legendary Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
[INSTANT DELIVERY] [GLOBAL] 800+ Pack Hour Glass | 1000 Challenge Hour Glass | 15+ Gold | Tons of Cards and Immersives,game_co,1.15,36.8,1.84,38.64,26,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1761845084693VN,USD,4.7,40,"Buy [INSTANT DELIVERY] [GLOBAL] 800+ Pack Hour Glass | 1000 Challenge Hour Glass | 15+ Gold | Tons of Cards and Immersives from game_co | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [INSTANT DELIVERY] [GLOBAL] 800+ Pack Hour Glass | 1000 Challenge Hour Glass | 15+ Gold | Tons of Cards and Immersives 产品信息 交易时间 立即 交易方式 自动发货 Platform Android [GLOBAL] 800+ Pack Hour Glass | 1000 Challenge Hour Glass | 15+ Gold Available for both IOS and Android Good for reroll, since all rarity can be transferred/traded to your main account Disclaimer: Cards obtained before you logged in may be obtain in CN language, for further pull change the game language to EN card. 收回 verified_user 免费保险 14天 139 可用库存 阶梯折扣 remove add 单价 0.5762 USD 总额 1.15 USD 立即购买 thumb_up 100.00% 已售出37 g game_co 用户等级 69 5 聊天 military_tech 99.3% 完单率 store 加入时间, 2020年5月11日 thumb_up 100% 全部评价 Uncommon Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、immersive(+14)、ur(+8)；綜合表現中等，建議比對賣家評價後再決定,2026-04-02T17:04:29
【Global】2400 Pack Hourglass|2000 Challenge Hourglass|35 pokes gold| Random 1 Crown card,CNLTeam,1.0,32.0,1.6,33.6,28,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1730879156113ZO,USD,0.99,46,"Buy 【Global】2400 Pack Hourglass|2000 Challenge Hourglass|35 pokes gold| Random 1 Crown card from CNLTeam | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket 【Global】2400 Pack Hourglass|2000 Challenge Hourglass|35 pokes gold| Random 1 Crown card 产品信息 交易时间 10分钟 Platform Android All platform - Available for IOS and Android Nintendo Account Initial language cannot be changed ----------------------------------------- We are the best in the price range you can buy and trust us. We are online 24/7, please message us when you need us 收回 verified_user 免费保险 14天 999 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 100.00% 已售出59 CNLTeam 用户等级 173 15.7k 聊天 military_tech 98.19% 完单率 store 加入时间, 2017年11月6日 thumb_up 99.11% 全部评价 Legendary Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：crown(+20)、gold(+14)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
【Global】Opening Hourglass*310~330+Challenge Hourglass*420+Pokémon Gold*6丨hourglass,xunlintech,1.0,32.0,1.6,33.6,14,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1730555842755YP,USD,0.99,22,"Buy 【Global】Opening Hourglass*310~330+Challenge Hourglass*420+Pokémon Gold*6丨hourglass from xunlintech | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket 【Global】Opening Hourglass*310~330+Challenge Hourglass*420+Pokémon Gold*6丨hourglass 产品信息 交易时间 立即 交易方式 自动发货 Platform Android Please read carefully before purchasing. Please confirm that your network can install the game before purchasing, thank you! The cards are all Traditional Chinese Cards (CHT) and do not follow the locale. Log in with your Nintendo account. For the safety of all buyers’ purchased referral codes, all referral codes in our store will not be sold twice. Once sold, there will be no refunds unless there is a quality problem with the account itself. 收回 verified_user 免费保险 14天 1 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 100.00% 已售出20 xunlintech 用户等级 90 47 聊天 military_tech 100% 完单率 store 加入时间, 2024年6月22日 thumb_up 99.73% 全部评价 Common Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
1000 cards | 350+ hourglass | 20 pokegold | 70+ rare cards,gameNseller,1.0,32.0,1.6,33.6,14,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1734939801749VR,USD,0.99,22,"Buy 1000 cards | 350+ hourglass | 20 pokegold | 70+ rare cards from gameNseller | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket 1000 cards | 350+ hourglass | 20 pokegold | 70+ rare cards 产品信息 交易时间 立即 交易方式 自动发货 Platform Android This is my lvl 20 account that i want to sell verified_user 免费保险 14天 1 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 0.00% 已售出0 g gameNseller 用户等级 19 0 聊天 military_tech 92.31% 完单率 store 加入时间, 2024年11月5日 thumb_up 100% 全部评价 Normal Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
[INSTANT DELIVERY]20+ Poke gold / 1000+ Pack Hourglass - 1000+ Wonder Hourglass- 1600+Cards [Auto Delivery],NourStore,1.0,32.0,1.6,33.6,22,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1734128681266PT,USD,0.99,36,"Buy [INSTANT DELIVERY]20+ Poke gold / 1000+ Pack Hourglass - 1000+ Wonder Hourglass- 1600+Cards [Auto Delivery] from NourStore | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [INSTANT DELIVERY]20+ Poke gold / 1000+ Pack Hourglass - 1000+ Wonder Hourglass- 1600+Cards [Auto Delivery] 产品信息 交易时间 立即 交易方式 自动发货 Platform IOS Working on Android ,IOS Starter Account - Fast Delivery 1000+ Pack Hourglass 1000+ Wonder Hourglass 20+ Gold Nagget 1600+Cards maybe cards are not English but you still can use the Account in English Language and the cards will be English While you playing Please check the account notes carefully, the e-mail login website address is also in the notes. Nintendo (Email)Account----Password----Email password----Nickname----Date Full access Nintendo Account If you have any questions, please contact me! Once an account has been sent, it cannot be refunded 收回 verified_user 免费保险 14天 1 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 100.00% 已售出13 NourStore 用户等级 133 826 聊天 military_tech 99.88% 完单率 store 加入时间, 2018年2月16日 thumb_up 99.54% 全部评价 Uncommon Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、poke gold(+10)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
Poke Gold*26+Pack hourglass*1100+Wonder hourglass*1500-[IOS/ANDROIND],媒体-01,1.0,32.0,1.6,33.6,22,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1739402523032HT,USD,0.99,36,"Buy Poke Gold*26+Pack hourglass*1100+Wonder hourglass*1500-[IOS/ANDROIND] from andre12138 | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket Poke Gold*26+Pack hourglass*1100+Wonder hourglass*1500-[IOS/ANDROIND] 产品信息 交易时间 10分钟 Platform IOS image 媒体-01 Account information: -Login method:Nintendo/Google -Platform: Android / IOS -------------------------------- If you need to specify cards please click on the media to view the image. -------------------------------- Security Guarantee Daily Login Fresh Account All resources,are legitimately obtained to eliminate getting banned All accounts are tutorial finished and login daily, GUARANTEED 100% safe &amp; legit. All Accounts are Legit rolled/No Interfering Game File. No Modded/Hacked/Duped Involved. 收回 verified_user 免费保险 14天 11 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 0.00% 已售出0 andre12138 用户等级 124 446 聊天 military_tech 99.55% 完单率 store 加入时间, 2020年5月24日 thumb_up 99.73% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、poke gold(+10)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
[INSTANT DELIVERY]20+ Poke gold / 1000+ Pack Hourglass - 1000+ Wonder Hourglass- 1600+Cards [Auto Delivery],NourStore,1.0,32.0,1.6,33.6,22,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1739433983205HI,USD,0.99,36,"Buy [INSTANT DELIVERY]20+ Poke gold / 1000+ Pack Hourglass - 1000+ Wonder Hourglass- 1600+Cards [Auto Delivery] from NourStore | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket [INSTANT DELIVERY]20+ Poke gold / 1000+ Pack Hourglass - 1000+ Wonder Hourglass- 1600+Cards [Auto Delivery] 产品信息 交易时间 立即 交易方式 自动发货 Platform Android Working on Android ,IOS Starter Account - Fast Delivery 1000+ Pack Hourglass 1000+ Wonder Hourglass 20+ Gold Nagget 1600+Cards maybe cards are not English but you still can use the Account in English Language and the cards will be English While you playing Please check the account notes carefully, the e-mail login website address is also in the notes. Nintendo (Email)Account----Password----Email password----Nickname----Date Full access Nintendo Account If you have any questions, please contact me! Once an account has been sent, it cannot be refunded 收回 verified_user 免费保险 14天 2 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 100.00% 已售出9 NourStore 用户等级 133 826 聊天 military_tech 99.88% 完单率 store 加入时间, 2018年2月16日 thumb_up 99.54% 全部评价 Uncommon Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、poke gold(+10)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
Poke Gold*26+Pack hourglass*1100+Wonder hourglass*1500-[IOS/ANDROIND],媒体-01,1.0,32.0,1.6,33.6,22,初始號,https://www.g2g.com/categories/pokemon-tcg-pocket-accounts/offer/G1739403161843QC,USD,0.99,36,"Buy Poke Gold*26+Pack hourglass*1100+Wonder hourglass*1500-[IOS/ANDROIND] from andre12138 | g2g.com | Buy safe TW 成为卖家 登录 / 注册 首页 > 游戏账号 > Pokemon TCG Pocket Poke Gold*26+Pack hourglass*1100+Wonder hourglass*1500-[IOS/ANDROIND] 产品信息 交易时间 10分钟 Platform Android image 媒体-01 Account information: -Login method:Nintendo/Google -Platform: Android / IOS -------------------------------- If you need to specify cards please click on the media to view the image. -------------------------------- Security Guarantee Daily Login Fresh Account All resources,are legitimately obtained to eliminate getting banned All accounts are tutorial finished and login daily, GUARANTEED 100% safe &amp; legit. All Accounts are Legit rolled/No Interfering Game File. No Modded/Hacked/Duped Involved. 收回 verified_user 免费保险 14天 10 可用库存 remove add 总额 1.00 USD 立即购买 thumb_up 100.00% 已售出1 andre12138 用户等级 124 446 聊天 military_tech 99.55% 完单率 store 加入时间, 2020年5月24日 thumb_up 99.73% 全部评价 Rare Seller G2G是一个全面的游戏相关产品在线市场。我们致力于为游戏社区的利益创新。 © 2026 G2G.com 关于我们 服务条款 协议条款 隐私政策 帮助中心 日间模式",初始號；命中關鍵字：gold(+14)、poke gold(+10)、ur(+8)；價格便宜但內容偏基礎，適合初始開局,2026-04-02T17:04:29
